,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,score,reviews_count,rating_title_0,rating_percentage_0,rating_title_1,rating_percentage_1,rating_title_2,rating_percentage_2,rating_title_3,rating_percentage_3,platform_name_0,platform_name_1,platform_name_2,platform_name_3,platform_name_4,platform_name_5,platform_name_6,platform_name_7,platform_name_8,platform_name_9,tags_extracted
0,Grand Theft Auto V,74.0,2013-09-17,4.47,5.0,6782.0,431.0,93.85972,6884.0,exceptional,58.96,recommended,32.84,meh,6.36,skip,1.83,PC,PlayStation 5,Xbox One,PlayStation 4,Xbox Series S/X,Xbox 360,PlayStation 3,,,,"['Singleplayer', 'Multiplayer']"
1,Grand Theft Auto IV,10.0,2008-04-29,4.26,4.0,2912.0,501.0,55.315758,2941.0,recommended,44.71,exceptional,42.77,meh,10.34,skip,2.18,PC,Xbox One,Xbox 360,PlayStation 3,undefined,,,,,,"['Singleplayer', 'Multiplayer']"
3,Grand Theft Auto: London 1961,0.0,1999-06-01,3.6,4.0,81.0,71.0,49.75967,83.0,exceptional,66.23,recommended,28.57,meh,2.6,skip,2.6,PC,Xbox 360,PlayStation 3,undefined,undefined,,,,,,[]
5,Grand Theft Auto IV: Complete Edition,0.0,2010-10-27,4.56,5.0,76.0,319.0,49.155666,77.0,recommended,61.17,meh,21.28,exceptional,15.43,skip,2.13,iOS,Android,Nintendo DS,PS Vita,PSP,,,,,,[]
6,Grand Theft Auto III: The Definitive Edition,0.0,2021-11-11,3.2,4.0,49.0,288.0,48.69834,51.0,exceptional,55.74,recommended,37.1,meh,5.06,skip,2.1,PC,PlayStation 4,iOS,Android,macOS,Xbox,PlayStation 2,PS Vita,,,['Singleplayer']
7,Grand Theft Auto: Chinatown Wars,0.0,2009-03-17,3.88,4.0,184.0,310.0,47.39365,188.0,exceptional,61.48,recommended,31.87,meh,4.86,skip,1.8,PC,Xbox One,PlayStation 4,iOS,Android,macOS,Xbox 360,Xbox,PlayStation 3,PlayStation 2,[]
8,Grand Theft Auto: Vice City,2.0,2002-10-27,4.44,5.0,2892.0,377.0,45.38765,2908.0,recommended,47.83,meh,21.74,skip,17.39,exceptional,13.04,PC,undefined,undefined,undefined,undefined,,,,,,"['Singleplayer', 'Multiplayer']"
9,Grand Theft Auto: San Andreas,2.0,2004-10-26,4.51,5.0,3702.0,485.0,45.1177,3725.0,meh,58.33,skip,25.0,exceptional,8.33,recommended,8.33,iOS,Android,undefined,undefined,undefined,,,,,,"['Singleplayer', 'Multiplayer']"
10,Grand Theft Auto Mission Pack: London 1969,0.0,1999-03-31,3.39,4.0,22.0,189.0,44.883247,23.0,recommended,54.36,exceptional,21.54,meh,18.21,skip,5.9,PC,PlayStation,Game Boy Color,Game Boy,undefined,,,,,,[]
11,Grand Theft Auto: iFruit,0.0,2013-09-16,2.75,3.0,12.0,153.0,44.251522,12.0,skip,60.19,meh,21.3,recommended,15.74,exceptional,2.78,PC,PlayStation 5,PlayStation 4,Xbox One,Xbox Series S/X,Nintendo Switch,iOS,Android,,,[]
12,Grand Theft Auto,1.0,1997-10-21,3.86,4.0,389.0,360.0,43.72917,390.0,meh,35.92,skip,26.06,recommended,23.24,exceptional,14.79,PC,PlayStation 5,PlayStation 4,Xbox One,Xbox Series S/X,Nintendo Switch,PS Vita,,,,"['Singleplayer', 'Multiplayer']"
13,Grand Theft Auto: The Trilogy – The Definitive Edition,0.0,2021-11-11,2.01,1.0,105.0,476.0,43.701984,108.0,recommended,64.88,exceptional,19.51,meh,14.15,skip,1.46,PlayStation 2,PSP,undefined,undefined,undefined,,,,,,[]
14,Grand Theft Auto: San Andreas – The Definitive Edition,1.0,2021-11-11,3.01,3.0,140.0,109.0,42.710136,142.0,recommended,35.21,exceptional,26.76,meh,25.35,skip,12.68,PC,PlayStation 5,Xbox One,PlayStation 4,Xbox Series S/X,Nintendo Switch,,,,,['Singleplayer']
15,Grand Theft Auto: Vice City Stories,42.0,2006-10-31,4.01,4.0,203.0,149.0,42.383213,205.0,recommended,71.17,exceptional,15.77,meh,10.81,skip,2.25,iOS,Android,PlayStation 3,PlayStation 2,PSP,,,,,,[]
16,Grand Theft Auto: Vice City – The Definitive Edition,5.0,2021-11-11,3.63,4.0,70.0,109.0,42.304806,71.0,recommended,58.24,exceptional,30.62,meh,6.82,skip,4.33,PC,Xbox 360,PlayStation 3,undefined,undefined,,,,,,['Singleplayer']
17,Grand Theft Auto: Liberty City Stories,7.0,2005-10-24,3.98,4.0,221.0,367.0,41.637093,222.0,recommended,64.33,exceptional,22.93,meh,10.83,skip,1.91,PC,Xbox 360,PlayStation 3,undefined,undefined,,,,,,[]
18,Grand Theft Auto: Episodes from Liberty City,3.0,2009-10-29,4.11,4.0,597.0,226.0,40.845108,601.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,undefined,undefined,undefined,undefined,,,,,,"['Singleplayer', 'Multiplayer']"
19,Grand Theft Auto IV: The Lost and Damned,6.0,2009-02-17,4.06,4.0,155.0,553.0,39.786484,157.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,0.0,undefined,undefined,undefined,undefined,undefined,,,,,,[]
